,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul
415,2013-02-19,0,4,27.5,-2.9,,,
416,2013-02-20,0,2.6,35.3,-4.8,,,
417,2013-02-21,0,2.5,49,-1.7,,,
418,2013-02-22,3.9,3.1,57.1,0.5,,,
419,2013-02-23,0,3.7,45.9,-0.9,,,
420,2013-02-24,0,2.2,42.4,1.4,,,
421,2013-02-25,0,1.7,39.4,3.3,,,
422,2013-02-26,0,2.6,56.4,4.8,,,
423,2013-02-27,0,3,69.5,3.4,,,
424,2013-02-28,1,2.9,57.3,6.7,,,
425,2013-03-01,3,4.8,56.1,0.8,1785.96,,
426,2013-03-02,0,3.2,42.6,-0.8,,,
427,2013-03-03,0,2.9,50.3,0.4,,,
428,2013-03-04,0,2.8,58.6,3.1,,,
429,2013-03-05,0,3,51.8,3.7,,,
430,2013-03-06,0,2.2,43.1,7.9,,,
431,2013-03-07,0.5,3.7,74.1,8,,,
432,2013-03-08,0,2.7,66,8.5,,,
433,2013-03-09,0,4.3,48.8,13.2,,,
434,2013-03-10,0,5,32.5,1.2,,,
435,2013-03-11,0,2.2,33.4,4.2,,,
436,2013-03-12,3.5,2.1,60.4,7.5,,,
437,2013-03-13,11.5,3.6,64.5,5.2,,,
438,2013-03-14,0,2.9,48.9,4.1,,,
439,2013-03-15,0,2.4,43.4,4.6,,,
440,2013-03-16,0,2.3,53.6,6.3,,,
441,2013-03-17,7.5,2.9,57.5,8.2,,,
442,2013-03-18,1,3.3,73,8.3,,,
443,2013-03-19,0,2.2,61.1,8,,,
444,2013-03-20,0.1,4.3,51.9,2.8,,,
445,2013-03-21,0,2.5,34.3,1.5,,,
446,2013-03-22,0,2.3,61.6,3.4,,,
447,2013-03-23,0,2.3,39,5.4,,,
448,2013-03-24,0,3.9,47.4,5.1,,,
449,2013-03-25,0,3.8,40.3,2.8,,,
450,2013-03-26,0,2.5,39.9,4.4,,,
451,2013-03-27,0,2.8,30.1,7.5,,,
452,2013-03-28,0,2.7,42.1,7.3,,,
453,2013-03-29,0,3.4,28.6,5.4,,,
454,2013-03-30,0.2,2.3,43.1,4.9,,,
455,2013-03-31,0,2.7,46.4,6.3,,,
456,2013-04-01,0.5,2.2,44.5,9.2,1745.21,,
457,2013-04-02,8.5,2.7,86.1,7.2,,,
458,2013-04-03,0,2.6,64,7.9,,,
459,2013-04-04,0,1.9,44.5,12.6,,,
460,2013-04-05,0,2.6,42.1,14.6,,,
461,2013-04-06,14,2.9,84.4,7.5,,,
462,2013-04-07,1,4.4,57.3,5.1,,,
463,2013-04-08,1,4,55.1,8,,,
464,2013-04-09,0.5,5.1,50.8,6.2,,,
465,2013-04-10,1.5,4.1,49.3,5,,,
466,2013-04-11,0.5,4.9,54.5,5.5,,,
467,2013-04-12,0,3.7,42.6,6.9,,,
468,2013-04-13,0,4.5,38.6,11.4,,,
469,2013-04-14,3.5,4.7,40.4,8.3,,,
470,2013-04-15,0,2,31.5,7.5,,,
471,2013-04-16,0,4.4,54.5,13.2,,,
472,2013-04-17,0,2.9,62.3,14.8,,,
473,2013-04-18,0,4,37.4,12.3,,,
474,2013-04-19,0,3.2,27,9.8,,,
475,2013-04-20,9.5,2.3,70.8,6.6,,,
476,2013-04-21,0,3.3,58.8,9,,,
477,2013-04-22,0,2.5,43.8,11.4,,,
478,2013-04-23,5.5,2.7,59.3,11.2,,,
479,2013-04-24,0.1,3.7,67,12.3,,,
480,2013-04-25,4.5,3.3,78.9,9.3,,,
481,2013-04-26,0.1,3.6,55,11.7,,,
482,2013-04-27,0,2.8,51.4,12.8,,,
483,2013-04-28,0,3.8,51,16,,,
484,2013-04-29,21,4.5,67.6,13.5,,,
485,2013-04-30,0,3.5,48.8,13.4,,,
486,2013-05-01,1,3.3,52.4,13.2,1699.44,,
487,2013-05-02,1,2.5,67.1,12.4,,,
488,2013-05-03,0,3.2,64.8,12.6,,,
489,2013-05-04,0,3.1,58.1,13.9,,,
490,2013-05-05,0,3.4,51.8,14.3,,,
491,2013-05-06,0,3,54,14.6,,,
492,2013-05-07,0,2.7,41.4,18.7,,,
493,2013-05-08,0,2.7,33.6,19.4,,,
494,2013-05-09,2.5,2.1,55.3,18.1,,,
495,2013-05-10,22,3.6,89.3,14,,,
496,2013-05-11,0,3.5,55.5,17.9,,,
497,2013-05-12,1,4,61.3,19.1,,,
498,2013-05-13,0,3.5,45,21.6,,,
499,2013-05-14,0,2.9,46.9,20.2,,,
500,2013-05-15,0,3.3,57,19.4,,,
501,2013-05-16,0,4.2,33.3,22,,,
502,2013-05-17,0,3,36.6,20.2,,,
503,2013-05-18,14.5,2.2,62.8,17.7,,,
504,2013-05-19,19.5,3.1,80.9,16.6,,,
505,2013-05-20,0,3.2,76,14.4,,,
506,2013-05-21,0,2,43.3,17.7,,,
507,2013-05-22,0,2,49.4,19.7,,,
508,2013-05-23,0,2.1,59.3,22.1,,,
509,2013-05-24,0,2.6,58.9,21.3,,,
510,2013-05-25,0,2,49.6,24.7,,,
511,2013-05-26,0,2.5,45.9,23.9,,,
512,2013-05-27,56.5,3.5,80.4,19.7,,,
513,2013-05-28,11.5,2.8,89.1,18.9,,,
514,2013-05-29,2.5,3,87.8,16.1,,,
515,2013-05-30,0,2.7,57.9,19.2,,,
516,2013-05-31,0,2.2,46.6,21.3,,,
517,2013-06-01,0,2.2,44.3,21.7,1701.02,,
518,2013-06-02,0,2,48.6,23.5,,,
519,2013-06-03,0,2.9,59,21.3,,,
520,2013-06-04,0.2,2,54.3,22.8,,,
521,2013-06-05,0,2,51.8,24.8,,,
522,2013-06-06,0,2.1,55.9,25,,,
523,2013-06-07,0,2.2,50.9,25.7,,,
524,2013-06-08,0,1.9,48.5,26.4,,,
525,2013-06-09,0,2.2,38.3,27.4,,,
526,2013-06-10,0,2.3,35.5,27.5,,,
527,2013-06-11,7,2.6,57.9,23.7,,,
